ship_id,cargo_containers,time_arrived_port,time_docked,time_crane_secured,time_unloading_complete,time_departed_port,wait_time_for_berth,wait_time_for_crane,turnaround_time
1,186,56,56,56,428,428,0,0,372
2,158,417,417,428,744,744,0,11,327
3,144,575,575,744,1032,1032,0,169,457
4,134,685,744,1032,1300,1300,59,288,615
5,76,705,1032,1300,1452,1452,327,268,747
6,114,725,1300,1452,1680,1680,575,152,955
7,126,732,1452,1680,1932,1932,720,228,1200
8,202,974,1680,1932,2336,2336,706,252,1362
9,167,1084,1932,2336,2670,2670,848,404,1586
10,61,1232,2336,2670,2792,2792,1104,334,1560
11,166,1234,2670,2792,3124,3124,1436,122,1890
12,130,1655,2792,3124,3384,3384,1137,332,1729
13,116,1869,3124,3384,3616,3616,1255,260,1747
14,180,1898,3384,3616,3976,3976,1486,232,2078
15,201,1922,3616,3976,4378,4378,1694,360,2456
16,196,1946,3976,4378,4770,4770,2030,402,2824
17,108,1990,4378,4770,4986,4986,2388,392,2996
18,134,2079,4770,4986,5254,5254,2691,216,3175
19,166,2147,4986,5254,5586,5586,2839,268,3439
20,198,2188,5254,5586,5982,5982,3066,332,3794
21,126,2302,5586,5982,6234,6234,3284,396,3932
22,140,2320,5982,6234,6514,6514,3662,252,4194
23,94,2361,6234,6514,6702,6702,3873,280,4341
24,90,2416,6514,6702,6882,6882,4098,188,4466
25,190,2489,6702,6882,7262,7262,4213,180,4773
26,217,2674,6882,7262,7696,7696,4208,380,5022
27,146,2700,7262,7696,7988,7988,4562,434,5288
28,200,2787,7696,7988,8388,8388,4909,292,5601
29,168,2895,7988,8388,8724,8724,5093,400,5829
30,117,2900,8388,8724,8958,8958,5488,336,6058
31,168,3013,8724,8958,9294,9294,5711,234,6281
32,226,3035,8958,9294,9746,9746,5923,336,6711
33,148,3043,9294,9746,10042,10042,6251,452,6999
34,228,3400,9746,10042,10498,10498,6346,296,7098
35,19,3804,10042,10498,10536,10536,6238,456,6732
36,191,4003,10498,10536,10918,10918,6495,38,6915
37,154,4046,10536,10918,11226,11226,6490,382,7180
38,135,4059,10918,11226,11496,11496,6859,308,7437
39,154,4197,11226,11496,11804,11804,7029,270,7607
40,50,4267,11496,11804,11904,11904,7229,308,7637
41,139,4282,11804,11904,12182,12182,7522,100,7900
42,167,4364,11904,12182,12516,12516,7540,278,8152
43,223,4368,12182,12516,12962,12962,7814,334,8594
44,124,4656,12516,12962,13210,13210,7860,446,8554
45,109,4692,12962,13210,13428,13428,8270,248,8736
46,124,4823,13210,13428,13676,13676,8387,218,8853
47,195,4868,13428,13676,14066,14066,8560,248,9198
48,166,4956,13676,14066,14398,14398,8720,390,9442
49,123,5051,14066,14398,14644,14644,9015,332,9593
50,175,5075,14398,14644,14994,14994,9323,246,9919
